78: 3.174, -4.272,  -1.953 | 0.019, -0.008, 1.044
79: 3.235, -4.211,  -1.953 | 0.018, -0.007, 1.043
80: 3.235, -4.333,  -1.892 | 0.017, -0.007, 1.044
81: 3.235, -4.333,  -1.892 | 0.016, -0.007, 1.044
82: 3.296, -4.272,  -1.953 | 0.017, -0.006, 1.043
83: 3.174, -4.333,  -1.892 | 0.018, -0.008, 1.044
84: 3.235, -4.395,  -1.953 | 0.019, -0.008, 1.047
85: 3.174, -4.333,  -1.892 | 0.019, -0.009, 1.043
86: 3.174, -4.272,  -1.831 | 0.018, -0.007, 1.045
87: 3.174, -4.211,  -1.892 | 0.017, -0.008, 1.044
88: 3.235, -4.272,  -1.892 | 0.017, -0.008, 1.045
89: 3.235, -4.333,  -1.892 | 0.016, -0.006, 1.044
90: 3.113, -4.211,  -1.831 | 0.016, -0.006, 1.044
91: 3.113, -4.272,  -1.953 | 0.018, -0.007, 1.043
92: 3.174, -4.272,  -1.892 | 0.020, -0.007, 1.044
93: 3.113, -4.272,  -1.892 | 0.019, -0.008, 1.043
94: 3.235, -4.272,  -1.892 | 0.019, -0.007, 1.044
95: 3.052, -4.211,  -1.892 | 0.017, -0.007, 1.043
96: 3.113, -4.333,  -1.892 | 0.016, -0.007, 1.044
97: 3.235, -4.333,  -1.831 | 0.016, -0.006, 1.044
98: 3.174, -4.272,  -1.892 | 0.016, -0.006, 1.044
99: 3.174, -4.272,  -1.892 | 0.018, -0.007, 1.045
100: 3.174, -4.333,  -1.892 | 0.018, -0.009, 1.046
101: 3.296, -4.333,  -1.892 | 0.018, -0.009, 1.043
102: 3.174, -4.333,  -1.953 | 0.020, -0.008, 1.044
103: 3.052, -4.333,  -1.892 | 0.017, -0.008, 1.043
