[14:14:52.307] tio v2.7
[14:14:52.307] Press ctrl-t q to quit
[14:14:52.307] Connected
[14:14:56.404] Disconnected
[14:14:57.405] Connected
Starting the tinyML hello world demo
x_value: 1.765575, y_value: 0.991228
x_value: 1.771858, y_value: 1.008172
x_value: 1.778141, y_value: 1.008172
x_value: 1.784425, y_value: 1.008172
x_value: 1.790708, y_value: 1.008172
x_value: 1.796991, y_value: 0.957340
x_value: 1.803274, y_value: 0.957340
x_value: 1.809557, y_value: 0.957340
x_value: 1.815841, y_value: 0.957340
x_value: 1.822124, y_value: 0.974284
x_value: 1.828407, y_value: 0.974284
x_value: 1.834690, y_value: 0.974284
x_value: 1.840973, y_value: 0.974284
x_value: 1.847257, y_value: 0.940396
x_value: 1.853540, y_value: 0.940396
x_value: 1.859823, y_value: 0.940396
x_value: 1.866106, y_value: 0.940396
x_value: 1.872389, y_value: 0.957340
x_value: 1.878672, y_value: 0.957340
x_value: 1.884956, y_value: 0.957340
x_value: 1.891239, y_value: 0.957340
x_value: 1.897522, y_value: 0.957340
x_value: 1.903805, y_value: 0.957340
x_value: 1.910088, y_value: 0.957340
x_value: 1.916372, y_value: 0.957340
x_value: 1.922655, y_value: 0.923452
x_value: 1.928938, y_value: 0.923452
x_value: 1.935221, y_value: 0.923452
x_value: 1.941504, y_value: 0.931924
x_value: 1.947788, y_value: 0.931924
x_value: 1.954071, y_value: 0.931924
x_value: 1.960354, y_value: 0.931924
x_value: 1.966637, y_value: 0.957340
x_value: 1.972920, y_value: 0.957340
x_value: 1.979203, y_value: 0.957340
x_value: 1.985487, y_value: 0.957340
x_value: 1.991770, y_value: 0.881092
x_value: 1.998053, y_value: 0.881092
x_value: 2.004336, y_value: 0.881092
x_value: 2.010619, y_value: 0.881092
x_value: 2.016903, y_value: 0.906508
x_value: 2.023186, y_value: 0.906508
x_value: 2.029469, y_value: 0.906508
x_value: 2.035752, y_value: 0.906508
x_value: 2.042035, y_value: 0.872620
x_value: 2.048318, y_value: 0.872620
x_value: 2.054602, y_value: 0.872620
x_value: 2.060885, y_value: 0.872620
x_value: 2.067168, y_value: 0.881092
x_value: 2.073451, y_value: 0.881092
x_value: 2.079734, y_value: 0.881092
x_value: 2.086018, y_value: 0.881092
x_value: 2.092301, y_value: 0.906508
x_value: 2.098584, y_value: 0.906508
x_value: 2.104867, y_value: 0.906508
