interpreter_make_new: model size = 2488, tensor area = 2064
time step,y
2.607522,0.499849
2.613805,0.499849
2.620088,0.499849
2.626372,0.499849
2.632655,0.423600
2.638938,0.423600
2.645221,0.423600
2.651504,0.423600
2.657787,0.432072
2.664071,0.432072
2.670354,0.432072
2.676637,0.432072
2.682920,0.440544
2.689203,0.440544
2.695486,0.440544
2.701770,0.440544
2.708053,0.364296
2.714336,0.364296
2.720620,0.364296
2.726902,0.364296
2.733186,0.364296
2.739469,0.364296
2.745752,0.364296
2.752035,0.364296
2.758318,0.364296
2.764602,0.364296
2.770885,0.364296
2.777168,0.304992
2.783451,0.304992
2.789734,0.304992
2.796018,0.304992
2.802301,0.313464
2.808584,0.313464
2.814867,0.313464
2.821150,0.313464
2.827433,0.237216
2.833717,0.237216
2.840000,0.237216
2.846283,0.237216
2.852566,0.237216
2.858849,0.237216
2.865132,0.237216
2.871416,0.237216
2.877699,0.254160
2.883982,0.254160
2.890266,0.254160
2.896548,0.254160
2.902832,0.186384
2.909115,0.186384
2.915398,0.186384
2.921681,0.186384
2.927964,0.177912
2.934248,0.177912
2.940531,0.177912
2.946814,0.177912
2.953097,0.177912
2.959380,0.177912
2.965664,0.177912
2.971947,0.177912
2.978230,0.118608
2.984513,0.118608
2.990796,0.118608
2.997080,0.118608
3.003363,0.127080
3.009646,0.127080
3.015929,0.127080
3.022212,0.127080
3.028495,0.050832
3.034778,0.050832
3.041062,0.050832
3.047345,0.059304
3.053628,0.059304
3.059912,0.059304
3.066194,0.059304
3.072478,0.067776
3.078761,0.067776
3.085044,0.067776
3.091327,0.067776
3.097610,0.000000
3.103894,0.000000
3.110177,0.000000
3.116460,0.000000
3.122743,0.008472
3.129026,0.008472
3.135310,0.008472
3.141593,0.008472
3.147876,0.008472
3.154159,0.008472
3.160442,0.008472
3.166726,0.008472
3.173009,0.008472
3.179292,0.008472
3.185575,0.008472
3.191858,0.008472
3.198141,-0.059304
3.204425,-0.059304
3.210708,-0.059304
3.216991,-0.059304
3.223274,-0.059304
3.229557,-0.059304
3.235840,-0.059304
3.242124,-0.059304
3.248407,-0.135552
3.254690,-0.135552
3.260973,-0.135552
3.267256,-0.135552
3.273540,-0.135552
3.279823,-0.135552
3.286106,-0.135552
3.292389,-0.135552
3.298672,-0.118608
3.304956,-0.118608
3.311239,-0.118608
3.317522,-0.194856
3.323805,-0.194856
3.330088,-0.194856
3.336372,-0.194856
3.342655,-0.186384
